OBJECTID,IN_FID,NEAR_FID
1,1,4
2,1,6
3,1,27
4,1,34
5,1,36
6,1,38
7,1,49
8,1,51
9,1,53
10,1,67
11,1,78
12,1,108
13,1,112
14,1,322
15,1,32
16,1,57
17,1,518
18,1,16
19,1,25
20,1,37
21,1,40
22,1,41
23,1,61
24,1,71
25,1,72
26,1,76
27,1,622
28,1,768
29,1,1007
30,1,21
31,1,151
32,1,530
33,1,959
34,1,515
35,1,535
36,1,918
37,1,954
38,1,958
39,1,961
40,1,558
41,1,70
42,1,129
43,1,809
44,1,810
45,1,74
46,1,123
47,1,136
48,1,140
49,1,135
50,1,333
51,2,51
52,2,53
53,2,78
54,2,79
55,2,84
56,2,167
57,2,171
58,2,271
59,2,284
60,2,291
61,2,292
62,2,177
63,2,136
64,2,140
65,2,290
66,2,77
67,2,80
68,2,81
69,2,82
70,2,142
71,2,839
72,2,380
73,2,382
74,2,383
75,2,384
76,2,443
77,2,579
78,2,580
79,2,586
80,2,889
81,2,588
82,2,584
83,3,5
84,3,66
85,3,8
86,3,10
87,3,12
88,3,52
89,4,1
90,4,6
91,4,7
92,4,27
93,4,28
94,4,33
95,4,34
96,4,38
97,4,49
98,4,67
99,4,85
100,4,108
101,4,112
102,4,523
103,4,29
104,4,101
105,4,102
106,4,105
107,4,30
108,4,32
109,4,110
110,4,19
111,4,541
112,4,500
113,4,502
114,4,25
115,4,41
116,4,21
117,4,151
118,4,310
119,4,530
120,4,607
121,4,39
122,4,43
123,4,608
124,4,150
125,4,152
126,4,961
127,4,15
128,4,24
129,4,187
130,4,632
131,4,854
132,4,856
133,4,281
134,4,341
135,5,27
136,5,34
137,5,38
138,5,67
139,5,165
140,5,353
141,5,354
142,5,29
143,5,95
144,5,97
145,5,101
146,5,102
147,5,105
148,5,106
149,5,1213
150,5,11
151,5,419
152,5,455
153,5,417
154,5,418
155,5,456
156,5,772
157,5,1235
158,5,1236
159,5,543
160,5,548
161,5,66
162,5,68
163,5,3
164,5,9
165,5,10
166,5,13
167,5,161
168,5,40
169,5,148
170,5,356
171,5,707
172,5,58
173,5,166
174,5,364
175,6,1
176,6,4
177,6,7
178,6,27
179,6,28
180,6,33
181,6,34
182,6,36
183,6,38
184,6,67
185,6,85
186,6,542
187,6,29
188,6,87
189,6,95
190,6,96
191,6,97
192,6,104
193,6,105
194,6,107
195,6,155
196,6,298
197,6,453
198,6,965
199,6,968
200,6,428
201,6,429
202,6,969
203,6,22
204,6,60
205,6,138
206,6,143
207,6,177
208,6,331
209,6,476
210,6,37
211,6,40
212,6,61
213,6,71
214,6,184
215,6,296
216,6,268
217,6,279
218,6,1238
219,6,1241
220,6,1242
221,6,172
222,6,246
223,6,250
224,6,166
225,6,946
226,6,1074
227,6,150
228,6,941
229,6,332
230,6,514
231,6,643
232,6,26
233,6,273
234,6,379
235,6,494
236,6,1162
237,6,537
238,6,1080
239,6,1203
240,6,75
241,6,838
242,7,4
243,7,6
244,7,27
245,7,28
246,7,33
247,7,36
248,7,38
249,7,49
250,7,51
251,7,53
252,7,67
253,7,113
254,7,167
255,7,171
256,7,311
257,7,29
258,7,105
259,7,46
260,7,57
261,7,174
262,7,293
263,7,109
264,7,159
265,7,268
266,7,15
267,7,183
268,7,44
269,7,45
270,7,169
271,7,269
272,7,48
273,7,50
274,7,316
275,7,1069
276,7,1085
